estacao_codigo,estacao_nome,latitude,longitude,altitude_m,data_inicial,data_final
A001,BRASILIA,-15.78944444,-47.92583332,1160.96,2019-01-01,2025-12-31
A002,GOIANIA,-16.64277777,-49.22027777,727.3,2019-01-01,2025-12-31
A003,MORRINHOS,-17.74499999,-49.10166666,751.09,2019-01-01,2025-12-31
A005,PORANGATU,-13.30944444,-49.11749999,365.0,2019-01-01,2025-12-31
A009,PALMAS,-10.14777777,-48.31444444,267.0,2019-01-01,2025-12-31
A010,PARANA,-12.615,-47.87194443,284.96,2019-01-01,2025-12-31
A011,SAO SIMAO,-18.96916666,-50.63333333,492.45,2019-01-01,2025-12-31
A012,LUZIANIA,-16.26055555,-47.96694443,1000.82,2019-01-01,2025-12-31
A013,ARAGARCAS,-15.90277777,-52.24527777,327.35,2019-01-01,2025-12-31
A014,GOIAS,-15.93972221,-50.14138888,512.86,2019-01-01,2025-12-31
A015,ITAPACI,-14.97972221,-49.53944444,551.0,2019-01-01,2025-12-31
A016,JATAI,-17.9236111,-51.71749999,670.08,2019-01-01,2025-12-31
A017,POSSE,-14.08916666,-46.36638888,830.0,2019-01-01,2025-12-31
A018,PEIXE,-12.01527777,-48.54444444,250.87,2019-01-01,2025-12-31
A019,GURUPI,-11.74499999,-49.05166666,274.0,2019-01-01,2025-12-31
A020,PEDRO AFONSO,-8.9686111,-48.17722221,189.71,2019-01-01,2025-12-31
A021,ARAGUAINA,-7.10388888,-48.20111111,230.76,2019-01-01,2025-12-31
A022,GOIANESIA,-15.22027777,-48.98999999,667.01,2019-01-01,2025-12-31
A023,CAIAPONIA,-16.96694443,-51.81749999,740.1,2019-01-01,2025-12-31
A024,ALTO PARAISO DE GOIAS,-14.13305554,-47.52333332,1264.7,2019-01-01,2025-12-31
A025,RIO VERDE,-17.78527777,-50.965,780.11,2019-01-01,2025-12-31
A026,MINEIROS,-17.45472222,-52.60111111,862.0,2019-01-01,2025-12-31
A027,PARAUNA,-16.9625,-50.42555554,678.74,2019-01-01,2025-12-31
A028,IPORA,-16.42305554,-51.14888888,610.41,2019-01-01,2025-12-31
A029,EDEIA,-17.33694444,-49.91472222,608.0,2019-01-01,2025-12-31
A031,SAO MIGUEL DO ARAGUAIA,-12.82055554,-50.33583333,210.0,2019-01-01,2025-12-31
A032,MONTE ALEGRE DE GOIAS,-13.25361111,-46.89027777,552.0,2019-01-01,2025-12-31
A033,PIRES DO RIO,-17.30416666,-48.28416666,757.27,2019-01-01,2025-12-31
A034,CATALAO,-18.15472222,-47.92749999,900.72,2019-01-01,2025-12-31
A035,ITUMBIARA,-18.40972222,-49.19194444,491.17,2019-01-01,2025-12-31
A036,CRISTALINA,-16.78499999,-47.61305555,1211.08,2019-01-01,2025-12-31
A037,SILVANIA,-16.67972221,-48.61805554,952.0,2019-01-01,2025-12-31
A038,DIANOPOLIS,-11.59444444,-46.84722221,727.87,2019-01-01,2025-12-31
A039,FORMOSO DO ARAGUAIA,-11.88749999,-49.60833333,215.2,2019-01-01,2025-12-31
A040,MATEIROS,-10.43444444,-45.92194443,791.0,2019-01-01,2025-12-31
A041,MARIANOPOLIS DO TO,-9.57638888,-49.72333332,186.69,2019-01-01,2025-12-31
A042,BRAZLANDIA,-15.6525,-48.20138888,1147.0,2019-01-01,2025-12-31
