nome_cientifico,nome_popular,grupo,status_iucn,bioma,bioma_principal,habitat_afetado_pct,latitude,longitude,estado,ano,mes
Panthera onca,Onça-pintada,Mamífero,VU,Cerrado,Cerrado,8.1,-20.061761,-56.797438,Mato Grosso do Sul,2026.0,1.0
Panthera onca,Onça-pintada,Mamífero,VU,Cerrado,Cerrado,8.1,-18.661136,-57.514916,Mato Grosso do Sul,2026.0,1.0
Panthera onca,Onça-pintada,Mamífero,VU,Cerrado,Cerrado,8.1,-14.943354,-45.976751,Bahia,2026.0,2.0
Panthera onca,Onça-pintada,Mamífero,VU,Cerrado,Cerrado,8.1,-17.237238,-56.71106,Mato Grosso,2026.0,3.0
Panthera onca,Onça-pintada,Mamífero,VU,Cerrado,Cerrado,8.1,-14.868912,-45.838021,Bahia,2026.0,3.0
Panthera onca,Onça-pintada,Mamífero,VU,Cerrado,Cerrado,8.1,-17.647046,-57.220305,Mato Grosso,2026.0,4.0
Panthera onca,Onça-pintada,Mamífero,VU,Cerrado,Cerrado,8.1,-16.286922,-56.73759,Mato Grosso,2026.0,4.0
Panthera onca,Onça-pintada,Mamífero,VU,Cerrado,Cerrado,8.1,-20.093408,-56.695224,Mato Grosso do Sul,2026.0,4.0
Panthera onca,Onça-pintada,Mamífero,VU,Cerrado,Cerrado,8.1,-15.040158,-45.885497,Bahia,2025.0,1.0
Panthera onca,Onça-pintada,Mamífero,VU,Cerrado,Cerrado,8.1,-19.706251,-56.097314,Mato Grosso do Sul,2025.0,2.0
Panthera onca,Onça-pintada,Mamífero,VU,Cerrado,Cerrado,8.1,-20.099947,-56.560735,Mato Grosso do Sul,2025.0,3.0
Panthera onca,Onça-pintada,Mamífero,VU,Cerrado,Cerrado,8.1,-16.331408,-56.609489,Mato Grosso,2025.0,3.0
Panthera onca,Onça-pintada,Mamífero,VU,Cerrado,Cerrado,8.1,-17.30543,-56.710661,Mato Grosso,2025.0,4.0
Panthera onca,Onça-pintada,Mamífero,VU,Cerrado,Cerrado,8.1,-16.933931,-57.486081,Mato Grosso,2025.0,4.0
Panthera onca,Onça-pintada,Mamífero,VU,Cerrado,Cerrado,8.1,-17.385278,-56.627296,Mato Grosso,2025.0,4.0
Panthera onca,Onça-pintada,Mamífero,VU,Cerrado,Cerrado,8.1,-18.219018,-52.644979,Goiás,2025.0,4.0
Panthera onca,Onça-pintada,Mamífero,VU,Cerrado,Cerrado,8.1,-19.419161,-56.151001,Mato Grosso do Sul,2025.0,5.0
Panthera onca,Onça-pintada,Mamífero,VU,Cerrado,Cerrado,8.1,-17.230817,-56.744285,Mato Grosso,2025.0,5.0
Panthera onca,Onça-pintada,Mamífero,VU,Cerrado,Cerrado,8.1,-17.249595,-56.645985,Mato Grosso do Sul,2025.0,5.0
Panthera onca,Onça-pintada,Mamífero,VU,Cerrado,Cerrado,8.1,-17.784174,-57.394316,Mato Grosso,2025.0,5.0
Panthera onca,Onça-pintada,Mamífero,VU,Cerrado,Cerrado,8.1,-17.397762,-56.779288,Mato Grosso,2025.0,5.0
Panthera onca,Onça-pintada,Mamífero,VU,Cerrado,Cerrado,8.1,-17.390293,-56.677147,Mato Grosso,2025.0,5.0
Panthera onca,Onça-pintada,Mamífero,VU,Cerrado,Cerrado,8.1,-17.345261,-56.614323,Mato Grosso,2025.0,5.0
Panthera onca,Onça-pintada,Mamífero,VU,Cerrado,Cerrado,8.1,-17.375863,-56.78812,Mato Grosso,2025.0,6.0
Panthera onca,Onça-pintada,Mamífero,VU,Cerrado,Cerrado,8.1,-17.221547,-56.760157,Mato Grosso,2025.0,6.0
Panthera onca,Onça-pintada,Mamífero,VU,Cerrado,Cerrado,8.1,-17.236332,-56.639801,Mato Grosso,2025.0,6.0
Panthera onca,Onça-pintada,Mamífero,VU,Cerrado,Cerrado,8.1,-17.359678,-56.740626,Mato Grosso do Sul,2025.0,6.0
Panthera onca,Onça-pintada,Mamífero,VU,Cerrado,Cerrado,8.1,-17.384453,-56.710698,Mato Grosso,2025.0,6.0
Panthera onca,Onça-pintada,Mamífero,VU,Cerrado,Cerrado,8.1,-17.210687,-56.719638,Mato Grosso,2025.0,6.0
Panthera onca,Onça-pintada,Mamífero,VU,Cerrado,Cerrado,8.1,-17.320572,-56.787826,Mato Grosso,2025.0,6.0
Panthera onca,Onça-pintada,Mamífero,VU,Cerrado,Cerrado,8.1,-17.266445,-56.651257,Mato Grosso,2025.0,6.0
Panthera onca,Onça-pintada,Mamífero,VU,Cerrado,Cerrado,8.1,-15.302857,-56.885298,Mato Grosso,2025.0,6.0
Panthera onca,Onça-pintada,Mamífero,VU,Cerrado,Cerrado,8.1,-17.394304,-56.714971,Mato Grosso,2025.0,6.0
Panthera onca,Onça-pintada,Mamífero,VU,Cerrado,Cerrado,8.1,-20.112347,-56.484416,Mato Grosso do Sul,2025.0,7.0
Panthera onca,Onça-pintada,Mamífero,VU,Cerrado,Cerrado,8.1,-16.830795,-56.264375,Mato Grosso,2025.0,7.0
Panthera onca,Onça-pintada,Mamífero,VU,Cerrado,Cerrado,8.1,-17.327626,-56.711311,Mato Grosso,2025.0,7.0
Panthera onca,Onça-pintada,Mamífero,VU,Cerrado,Cerrado,8.1,-17.823109,-57.450388,Mato Grosso,2025.0,7.0
Panthera onca,Onça-pintada,Mamífero,VU,Cerrado,Cerrado,8.1,-17.380931,-56.625355,Mato Grosso,2025.0,7.0
Panthera onca,Onça-pintada,Mamífero,VU,Cerrado,Cerrado,8.1,-17.245294,-56.665918,Mato Grosso,2025.0,7.0
Panthera onca,Onça-pintada,Mamífero,VU,Cerrado,Cerrado,8.1,-17.227475,-56.785741,Mato Grosso,2025.0,7.0
Panthera onca,Onça-pintada,Mamífero,VU,Cerrado,Cerrado,8.1,-17.386043,-56.721131,Mato Grosso do Sul,2025.0,7.0
Panthera onca,Onça-pintada,Mamífero,VU,Cerrado,Cerrado,8.1,-17.263246,-56.732954,Mato Grosso,2025.0,7.0
Panthera onca,Onça-pintada,Mamífero,VU,Cerrado,Cerrado,8.1,-17.394996,-56.617439,Mato Grosso,2025.0,7.0
Panthera onca,Onça-pintada,Mamífero,VU,Cerrado,Cerrado,8.1,-17.20593,-56.744866,Mato Grosso do Sul,2025.0,7.0
Panthera onca,Onça-pintada,Mamífero,VU,Cerrado,Cerrado,8.1,-17.396488,-56.680379,Mato Grosso,2025.0,7.0
Panthera onca,Onça-pintada,Mamífero,VU,Cerrado,Cerrado,8.1,-17.363242,-56.650543,Mato Grosso,2025.0,7.0
Panthera onca,Onça-pintada,Mamífero,VU,Cerrado,Cerrado,8.1,-17.250885,-56.727043,Mato Grosso,2025.0,7.0
Panthera onca,Onça-pintada,Mamífero,VU,Cerrado,Cerrado,8.1,-17.360216,-56.715275,Mato Grosso,2025.0,7.0
Panthera onca,Onça-pintada,Mamífero,VU,Cerrado,Cerrado,8.1,-17.384089,-56.805284,Mato Grosso,2025.0,7.0
Panthera onca,Onça-pintada,Mamífero,VU,Cerrado,Cerrado,8.1,-17.357094,-56.928123,Mato Grosso,2025.0,7.0
Panthera onca,Onça-pintada,Mamífero,VU,Cerrado,Cerrado,8.1,-17.262589,-56.92674,Mato Grosso,2025.0,7.0
Panthera onca,Onça-pintada,Mamífero,VU,Cerrado,Cerrado,8.1,-17.388375,-56.791255,Mato Grosso,2025.0,7.0
Panthera onca,Onça-pintada,Mamífero,VU,Cerrado,Cerrado,8.1,-17.200819,-56.935859,Mato Grosso,2025.0,7.0
Panthera onca,Onça-pintada,Mamífero,VU,Cerrado,Cerrado,8.1,-17.321316,-56.708847,Mato Grosso,2025.0,7.0
Panthera onca,Onça-pintada,Mamífero,VU,Cerrado,Cerrado,8.1,-17.342892,-56.930537,Mato Grosso,2025.0,7.0
Panthera onca,Onça-pintada,Mamífero,VU,Cerrado,Cerrado,8.1,-17.364437,-56.753133,Mato Grosso,2025.0,7.0
Panthera onca,Onça-pintada,Mamífero,VU,Cerrado,Cerrado,8.1,-17.257569,-56.879232,Mato Grosso,2025.0,7.0
Panthera onca,Onça-pintada,Mamífero,VU,Cerrado,Cerrado,8.1,-17.31764,-56.810067,Mato Grosso,2025.0,7.0
Panthera onca,Onça-pintada,Mamífero,VU,Cerrado,Cerrado,8.1,-17.376588,-56.685669,Mato Grosso,2025.0,7.0
Panthera onca,Onça-pintada,Mamífero,VU,Cerrado,Cerrado,8.1,-17.268748,-56.82453,Mato Grosso,2025.0,7.0
Panthera onca,Onça-pintada,Mamífero,VU,Cerrado,Cerrado,8.1,-17.375936,-56.845923,Mato Grosso,2025.0,7.0
Panthera onca,Onça-pintada,Mamífero,VU,Cerrado,Cerrado,8.1,-17.28218,-56.65073,Mato Grosso,2025.0,7.0
Panthera onca,Onça-pintada,Mamífero,VU,Cerrado,Cerrado,8.1,-17.233475,-56.660004,Mato Grosso,2025.0,7.0
Panthera onca,Onça-pintada,Mamífero,VU,Cerrado,Cerrado,8.1,-17.382143,-56.689035,Mato Grosso,2025.0,7.0
Panthera onca,Onça-pintada,Mamífero,VU,Cerrado,Cerrado,8.1,-17.334585,-56.774171,Mato Grosso,2025.0,7.0
Panthera onca,Onça-pintada,Mamífero,VU,Cerrado,Cerrado,8.1,-17.335104,-56.621857,Mato Grosso,2025.0,7.0
Panthera onca,Onça-pintada,Mamífero,VU,Cerrado,Cerrado,8.1,-17.327169,-56.755385,Mato Grosso,2025.0,7.0
