bioma,estado,ano,area_queimada_ha
Amazônia,Acre,2019,194765.73659606327
Amazônia,Acre,2020,202138.77533061538
Amazônia,Acre,2021,247107.61696911594
Amazônia,Acre,2022,398077.0045813901
Amazônia,Acre,2023,148011.29796189576
Amazônia,Amapá,2019,242608.90219917067
Amazônia,Amapá,2020,184606.37012509746
Amazônia,Amapá,2021,158068.0543690741
Amazônia,Amapá,2022,198163.94651705443
Amazônia,Amapá,2023,440744.98129234696
Amazônia,Amazonas,2019,648460.511907038
Amazônia,Amazonas,2020,663460.250755049
Amazônia,Amazonas,2021,677614.2828203291
Amazônia,Amazonas,2022,986106.6829595774
Amazônia,Amazonas,2023,1000876.6597522923
Amazônia,Maranhão,2019,342186.5702031421
Amazônia,Maranhão,2020,274833.8837330137
Amazônia,Maranhão,2021,115846.04159108283
Amazônia,Maranhão,2022,379579.33244088624
Amazônia,Maranhão,2023,771939.901112004
Amazônia,Mato Grosso,2019,1316011.1619880865
Amazônia,Mato Grosso,2020,1854913.0209145076
Amazônia,Mato Grosso,2021,864579.1946959308
Amazônia,Mato Grosso,2022,1494480.0988175387
Amazônia,Mato Grosso,2023,838837.9969378207
Amazônia,Pará,2019,2308235.4349869112
Amazônia,Pará,2020,3074183.681353775
Amazônia,Pará,2021,1026505.8656586782
Amazônia,Pará,2022,2922507.927181617
Amazônia,Pará,2023,2845928.9555354086
Amazônia,Rondônia,2019,604813.3744382934
Amazônia,Rondônia,2020,698849.6013276512
Amazônia,Rondônia,2021,495460.4370562039
Amazônia,Rondônia,2022,701823.9847820837
Amazônia,Rondônia,2023,597439.0461796377
Amazônia,Roraima,2019,1837621.564058791
Amazônia,Roraima,2020,1184588.2200229357
Amazônia,Roraima,2021,722365.7395265957
Amazônia,Roraima,2022,761756.1247140461
Amazônia,Roraima,2023,1987553.5134847967
Amazônia,Tocantins,2019,32595.027337573058
Amazônia,Tocantins,2020,91207.99019706526
Amazônia,Tocantins,2021,14051.954429083253
Amazônia,Tocantins,2022,46265.33929515377
Amazônia,Tocantins,2023,28296.746543322686
Cerrado,Bahia,2019,289487.7215282055
Cerrado,Bahia,2020,331894.2184627933
Cerrado,Bahia,2021,766615.8887472138
Cerrado,Bahia,2022,385512.26043987426
Cerrado,Bahia,2023,323750.0029246757
Cerrado,Distrito Federal,2019,16059.511502142335
Cerrado,Distrito Federal,2020,11244.786535821539
Cerrado,Distrito Federal,2021,21556.416578729233
Cerrado,Distrito Federal,2022,27200.966054437253
Cerrado,Distrito Federal,2023,5250.56840302123
Cerrado,Goiás,2019,748476.2181307276
Cerrado,Goiás,2020,390765.769878058
Cerrado,Goiás,2021,681964.6172185624
Cerrado,Goiás,2022,389954.91942354775
Cerrado,Goiás,2023,249317.25073971564
Cerrado,Maranhão,2019,1633486.5500492312
Cerrado,Maranhão,2020,1556059.4482923292
Cerrado,Maranhão,2021,884585.8627077766
Cerrado,Maranhão,2022,1566078.2010118153
Cerrado,Maranhão,2023,1570964.675344487
Cerrado,Mato Grosso,2019,2607211.5264375405
Cerrado,Mato Grosso,2020,2733603.8328421796
Cerrado,Mato Grosso,2021,1765427.8068894472
Cerrado,Mato Grosso,2022,2014620.7498803227
Cerrado,Mato Grosso,2023,963323.4549463431
Cerrado,Mato Grosso do Sul,2019,69889.02795231319
Cerrado,Mato Grosso do Sul,2020,79695.49456663227
Cerrado,Mato Grosso do Sul,2021,131368.1812486993
Cerrado,Mato Grosso do Sul,2022,59033.38402174066
Cerrado,Mato Grosso do Sul,2023,52106.09568887942
Cerrado,Minas Gerais,2019,196201.83987323625
Cerrado,Minas Gerais,2020,261894.38991305538
Cerrado,Minas Gerais,2021,298594.7014682819
Cerrado,Minas Gerais,2022,160994.4294382141
Cerrado,Minas Gerais,2023,126126.93804599007
Cerrado,Paraná,2019,983.1223009948732
Cerrado,Paraná,2020,1556.356016949464
Cerrado,Paraná,2021,1273.9530465209955
Cerrado,Paraná,2022,882.9222424987784
Cerrado,Paraná,2023,223.77925686645506
Cerrado,Pará,2019,78447.80587277339
Cerrado,Pará,2020,125196.5424104262
Cerrado,Pará,2021,22152.0259770447
Cerrado,Pará,2022,76549.00424594215
Cerrado,Pará,2023,11564.600280218494
Cerrado,Piauí,2019,1164516.9707487617
Cerrado,Piauí,2020,959072.948133359
Cerrado,Piauí,2021,920120.6613354223
Cerrado,Piauí,2022,1218037.3327319177
Cerrado,Piauí,2023,1326359.149983017
Cerrado,Rondônia,2019,5848.389418072533
Cerrado,Rondônia,2020,4822.1086688598625
Cerrado,Rondônia,2021,1073.316222155759
Cerrado,Rondônia,2022,2084.8255559265176
Cerrado,Rondônia,2023,792.9316757507321
Cerrado,São Paulo,2019,16541.195283459474
Cerrado,São Paulo,2020,36436.477335430995
Cerrado,São Paulo,2021,37628.98426874384
Cerrado,São Paulo,2022,8679.083496392825
Cerrado,São Paulo,2023,13159.586696545422
Cerrado,Tocantins,2019,2535254.1367998463
Cerrado,Tocantins,2020,2410521.196506571
Cerrado,Tocantins,2021,1617099.1342726408
Cerrado,Tocantins,2022,2206435.2431491464
Cerrado,Tocantins,2023,1398714.1122982337
