bioma,estado,mes_nome,mes_numero,ano,area_queimada_ha
Amazônia,Acre,Abril,4,2019,524.3489332275395
Amazônia,Acre,Abril,4,2020,684.4135020690926
Amazônia,Acre,Abril,4,2021,596.9921656738277
Amazônia,Acre,Abril,4,2022,616.7554994812008
Amazônia,Acre,Abril,4,2023,497.9813428710938
Amazônia,Acre,Agosto,8,2019,47650.12643051753
Amazônia,Acre,Agosto,8,2020,40381.79863636487
Amazônia,Acre,Agosto,8,2021,30866.541041375727
Amazônia,Acre,Agosto,8,2022,26466.947967480413
Amazônia,Acre,Agosto,8,2023,18738.02414702151
Amazônia,Acre,Dezembro,12,2019,599.9520384765626
Amazônia,Acre,Dezembro,12,2020,3401.3848011291443
Amazônia,Acre,Dezembro,12,2021,334.8088236083983
Amazônia,Acre,Dezembro,12,2022,9534.731012139913
Amazônia,Acre,Dezembro,12,2023,1376.3171795349128
Amazônia,Acre,Fevereiro,2,2019,399.522047045899
Amazônia,Acre,Fevereiro,2,2020,207.33024650268524
Amazônia,Acre,Fevereiro,2,2021,69.72984030761721
Amazônia,Acre,Fevereiro,2,2022,483.2413777587895
Amazônia,Acre,Fevereiro,2,2023,112.8285851806641
Amazônia,Acre,Janeiro,1,2019,731.9237199584949
Amazônia,Acre,Janeiro,1,2020,736.6041051025395
Amazônia,Acre,Janeiro,1,2021,1977.3205322876001
Amazônia,Acre,Janeiro,1,2022,1242.2306789978031
Amazônia,Acre,Janeiro,1,2023,1265.1046671020483
Amazônia,Acre,Julho,7,2019,2562.4536898010283
Amazônia,Acre,Julho,7,2020,3797.278460656738
Amazônia,Acre,Julho,7,2021,9922.113731256108
Amazônia,Acre,Julho,7,2022,10359.667225988765
Amazônia,Acre,Julho,7,2023,5776.532383660879
Amazônia,Acre,Junho,6,2019,2688.214475701901
Amazônia,Acre,Junho,6,2020,2642.8496889953576
Amazônia,Acre,Junho,6,2021,889.9150937072754
Amazônia,Acre,Junho,6,2022,4470.289398358158
Amazônia,Acre,Junho,6,2023,1842.613163879393
