ano,mes,estacao_codigo,temp_max_c,temp_min_c,umidade_min_pct,precipitacao_mm
2019,1,A001,25.48,20.57,39.39,5.0
2019,1,A002,29.13,21.68,33.48,3.0
2019,1,A003,27.46,22.7,36.68,5.0
2019,1,A005,28.86,23.79,46.65,34.0
2019,1,A009,28.24,23.85,50.16,44.0
2019,1,A010,,,36.5,0.0
2019,1,A011,30.96,23.68,37.0,11.0
2019,1,A012,27.57,21.45,37.29,5.0
2019,1,A013,30.07,23.93,41.68,41.0
2019,1,A014,30.0,22.93,40.65,26.0
2019,1,A015,29.1,22.14,41.58,14.0
2019,1,A016,28.19,21.67,43.1,8.0
2019,1,A017,28.86,23.11,32.74,34.0
2019,1,A018,31.0,24.6,42.17,0.0
2019,1,A019,29.11,23.5,48.26,37.0
2019,1,A020,29.67,24.67,51.81,27.0
2019,1,A021,28.26,22.89,58.03,54.0
2019,1,A022,29.21,21.9,35.48,1.0
2019,1,A023,28.46,21.97,40.71,15.0
2019,1,A024,24.89,19.3,19.45,32.0
2019,1,A025,28.61,22.0,40.35,7.0
2019,1,A026,24.74,20.72,48.0,64.0
2019,1,A027,28.46,23.38,41.55,47.0
2019,1,A028,28.86,23.16,43.19,4.0
2019,1,A029,29.07,22.92,50.53,18.0
2019,1,A031,29.87,24.61,47.52,38.0
2019,1,A032,28.77,23.59,34.77,10.0
2019,1,A033,28.03,22.59,37.35,4.0
2019,1,A034,27.23,22.86,37.61,0.0
2019,1,A035,29.52,22.94,36.61,14.0
2019,1,A036,25.93,20.21,40.13,23.0
2019,1,A037,25.82,20.74,38.45,8.0
2019,1,A038,29.8,29.33,46.0,0.0
2019,1,A039,29.39,24.93,49.84,0.0
2019,1,A040,27.29,21.52,42.35,23.0
2019,1,A041,31.0,28.0,55.13,0.0
2019,1,A042,26.41,21.79,38.58,65.0
2019,1,A043,26.88,22.18,51.03,0.0
2019,1,A044,28.93,24.44,54.61,25.0
2019,1,A045,27.43,19.93,36.61,4.0
2019,1,A046,27.07,18.79,36.52,13.0
2019,1,A047,27.5,20.63,45.68,30.0
2019,1,A048,27.62,22.65,68.71,40.0
2019,1,A049,30.71,27.58,55.39,5.0
2019,1,A050,28.44,23.17,50.13,15.0
2019,1,A051,29.7,23.83,58.13,29.0
2019,1,A052,30.71,26.85,52.06,0.0
2019,1,A053,27.88,22.84,52.71,29.0
2019,1,A054,30.21,25.46,45.23,10.0
2019,1,A055,31.2,,60.0,0.0
2019,1,A056,25.93,19.62,44.45,27.0
2019,1,A101,28.97,25.62,56.97,37.0
2019,1,A102,28.0,24.15,68.74,0.0
2019,1,A104,,,,0.0
2019,1,A108,27.14,23.93,61.97,46.0
2019,1,A109,27.11,24.14,10.38,72.0
2019,1,A110,28.68,24.13,62.35,22.0
2019,1,A111,29.1,25.79,61.9,23.0
2019,1,A112,28.21,24.62,58.13,81.0
2019,1,A113,,,,0.0
2019,1,A117,29.0,24.61,59.55,74.0
2019,1,A119,28.1,24.61,61.45,76.0
2019,1,A120,28.38,25.04,61.74,76.0
2019,1,A121,,,,0.0
2019,1,A122,28.48,23.62,68.74,1.0
2019,1,A123,29.1,25.93,56.35,37.0
2019,1,A124,29.32,25.14,60.52,25.0
2019,1,A125,28.19,24.32,63.1,80.0
2019,1,A126,28.04,24.11,59.55,25.0
2019,1,A128,29.1,25.2,,53.0
2019,1,A133,28.07,24.1,59.39,0.0
2019,1,A134,28.35,24.23,56.55,75.0
2019,1,A135,31.26,25.68,37.13,3.0
2019,1,A136,28.21,23.55,61.71,60.0
2019,1,A137,26.8,23.15,61.1,31.0
2019,1,A138,27.75,24.0,60.03,68.0
2019,1,A140,26.38,23.39,60.68,31.0
2019,1,A201,28.46,24.3,58.71,44.0
2019,1,A202,27.58,24.55,60.45,16.0
2019,1,A203,28.56,26.08,65.63,19.0
2019,1,A204,28.26,24.72,49.97,64.0
2019,1,A205,28.72,23.97,56.26,72.0
2019,1,A206,29.07,24.75,51.77,58.0
2019,1,A207,,,,0.0
2019,1,A209,,,,0.0
2019,1,A210,27.97,23.43,59.65,4.0
2019,1,A211,26.93,23.52,59.84,89.0
2019,1,A212,28.27,23.75,62.68,116.0
2019,1,A213,28.5,24.57,58.81,108.0
2019,1,A214,28.5,22.8,58.71,17.0
2019,1,A215,27.94,25.22,70.68,34.0
2019,1,A216,26.89,24.0,59.26,23.0
2019,1,A217,29.03,27.0,19.58,0.0
2019,1,A218,28.59,25.56,66.29,59.0
2019,1,A219,27.55,25.37,63.87,31.0
2019,1,A220,30.35,24.38,53.35,0.0
2019,1,A221,28.67,25.11,50.27,13.0
2019,1,A222,29.29,24.28,43.94,9.0
2019,1,A223,30.14,27.91,43.16,19.0
2019,1,A224,27.54,23.52,58.74,33.0
2019,1,A225,29.07,25.07,59.0,20.0
2019,1,A226,30.56,25.18,62.77,26.0
2019,1,A227,28.48,25.48,68.52,36.0
2019,1,A228,28.59,24.24,60.13,51.0
2019,1,A229,26.5,24.25,61.13,0.0
2019,1,A230,24.93,22.64,65.8,50.0
2019,1,A231,28.43,25.18,58.1,39.0
2019,1,A232,27.83,23.62,60.71,51.0
2019,1,A233,29.48,24.11,49.68,42.0
2019,1,A234,26.73,22.27,63.61,60.0
2019,1,A235,28.59,24.07,54.77,43.0
2019,1,A236,28.93,24.87,57.68,113.0
2019,1,A237,29.11,23.77,52.32,56.0
2019,1,A238,,,,0.0
2019,1,A239,28.48,24.48,61.19,36.0
2019,1,A240,28.61,24.0,59.81,41.0
2019,1,A241,27.64,23.43,55.23,41.0
2019,1,A242,26.21,23.83,74.84,33.0
2019,1,A244,,,,0.0
2019,1,A246,,,,0.0
2019,1,A247,27.87,22.9,60.42,15.0
2019,1,A248,28.38,23.18,58.58,43.0
2019,1,A249,,,50.5,0.0
2019,1,A250,27.14,24.31,67.0,89.0
2019,1,A251,28.11,24.45,64.52,71.0
2019,1,A252,28.08,23.65,,36.0
2019,1,A253,27.6,23.28,65.29,54.0
2019,1,A301,28.48,24.81,54.68,17.0
2019,1,A302,27.96,26.9,75.39,23.0
2019,1,A303,28.43,24.39,58.26,54.0
2019,1,A304,29.6,26.54,62.42,0.0
2019,1,A305,28.6,26.54,57.06,26.0
2019,1,A306,29.33,24.78,43.93,13.0
2019,1,A307,31.65,26.53,25.19,0.0
2019,1,A308,29.0,24.62,55.97,4.0
2019,1,A309,28.68,21.57,32.35,0.0
2019,1,A310,27.63,21.89,44.0,4.0
2019,1,A311,30.0,25.06,45.39,18.0
2019,1,A312,29.68,26.75,61.58,33.0
2019,1,A313,28.33,23.43,40.9,1.0
2019,1,A314,24.42,21.15,67.26,15.0
2019,1,A315,29.0,23.68,39.39,12.0
2019,1,A316,32.34,26.04,27.9,5.0
2019,1,A317,,,,0.0
2019,1,A318,29.33,28.43,54.0,0.0
2019,1,A319,30.28,24.65,37.45,39.0
2019,1,A320,29.14,26.32,55.55,1.0
2019,1,A321,33.16,26.61,13.65,11.0
2019,1,A322,23.71,20.45,48.65,2.0
2019,1,A323,31.83,25.76,32.52,3.0
2019,1,A324,29.7,24.52,38.68,16.0
2019,1,A325,29.67,26.86,33.62,0.0
2019,1,A326,31.16,26.96,38.0,0.0
2019,1,A327,29.23,23.34,49.29,2.0
2019,1,A328,28.82,23.41,35.1,0.0
2019,1,A329,32.36,29.6,33.0,0.0
2019,1,A330,32.15,26.23,25.35,1.0
2019,1,A331,31.12,26.61,27.1,10.0
2019,1,A332,31.12,25.48,39.87,37.0
2019,1,A333,31.0,25.22,30.72,9.0
2019,1,A334,29.0,22.58,27.23,3.0
2019,1,A335,30.28,26.46,45.55,40.0
2019,1,A336,30.07,24.04,39.0,6.0
2019,1,A337,31.34,24.61,44.55,3.0
2019,1,A339,31.79,26.18,35.0,3.0
2019,1,A340,31.54,25.62,34.26,1.0
2019,1,A341,24.93,20.17,49.29,1.0
2019,1,A342,30.79,25.14,39.81,21.0
2019,1,A343,29.68,25.31,37.84,0.0
2019,1,A344,28.09,26.45,26.5,0.0
2019,1,A345,29.58,26.57,61.03,0.0
2019,1,A346,28.17,23.14,48.42,19.0
2019,1,A347,28.17,23.62,43.52,6.0
2019,1,A348,31.18,24.77,29.45,13.0
2019,1,A349,31.0,24.72,27.65,0.0
2019,1,A350,31.88,24.0,22.9,18.0
2019,1,A351,31.87,25.37,27.87,0.0
2019,1,A352,29.1,24.38,48.0,0.0
2019,1,A353,28.17,22.86,31.1,0.0
2019,1,A354,29.96,25.14,40.42,1.0
2019,1,A355,28.33,24.52,51.65,0.0
2019,1,A356,28.0,23.71,59.55,25.0
2019,1,A357,29.0,23.38,60.75,5.0
2019,1,A358,31.7,26.23,32.19,8.0
2019,1,A359,,,,0.0
2019,1,A360,28.24,25.7,59.33,0.0
2019,1,A361,29.12,24.21,39.84,0.0
2019,1,A362,28.9,23.9,49.97,0.0
2019,1,A363,,,,0.0
2019,1,A364,28.82,23.5,40.32,16.0
2019,1,A365,30.81,24.48,34.32,8.0
2019,1,A366,30.58,28.22,30.19,0.0
2019,1,A367,31.21,25.3,30.42,1.0
2019,1,A368,25.03,21.48,59.65,18.0
2019,1,A369,30.2,24.93,43.81,22.0
2019,1,A370,29.47,26.9,64.03,3.0
2019,1,A371,31.63,26.69,35.45,0.0
2019,1,A372,32.0,25.3,37.19,0.0
2019,1,A373,31.1,24.96,32.77,7.0
2019,1,A374,30.07,22.86,40.87,4.0
2019,1,A375,27.9,23.7,50.13,35.0
2019,1,A376,,,67.0,0.0
2019,1,A401,29.28,25.57,53.26,5.0
2019,1,A402,31.08,23.39,37.68,2.0
2019,1,A404,27.83,20.63,42.52,2.0
2019,1,A405,29.78,25.0,55.06,3.0
2019,1,A406,29.67,23.96,40.19,2.0
2019,1,A407,27.15,20.68,39.97,2.0
2019,1,A408,31.43,25.19,39.58,1.0
2019,1,A409,30.96,27.37,45.26,1.0
2019,1,A410,28.38,22.9,52.26,16.0
2019,1,A412,30.55,24.16,12.15,3.0
2019,1,A413,30.52,22.93,33.19,0.0
2019,1,A414,25.61,20.7,44.94,0.0
2019,1,A415,30.96,23.67,28.45,3.0
2019,1,A416,28.7,21.52,38.94,6.0
2019,1,A417,28.33,24.69,44.42,0.0
2019,1,A418,32.22,27.36,36.45,0.0
2019,1,A419,30.46,22.57,32.16,3.0
2019,1,A420,30.45,24.76,37.42,2.0
2019,1,A421,29.07,24.54,56.74,10.0
2019,1,A422,28.0,26.33,67.03,0.0
2019,1,A423,31.04,26.62,23.52,0.0
2019,1,A424,29.32,21.7,33.45,1.0
2019,1,A425,28.89,22.73,38.81,1.0
2019,1,A426,30.39,25.15,24.84,0.0
2019,1,A427,29.37,23.46,48.94,5.0
2019,1,A428,29.55,23.3,29.39,2.0
2019,1,A429,32.14,26.19,32.81,0.0
2019,1,A430,24.85,19.48,36.61,0.0
2019,1,A431,28.7,25.89,64.42,2.0
2019,1,A432,33.38,30.17,36.81,0.0
2019,1,A433,29.1,22.3,30.1,0.0
2019,1,A434,27.8,22.17,42.81,9.0
2019,1,A435,30.63,24.83,34.03,1.0
2019,1,A436,31.86,24.26,19.58,0.0
2019,1,A437,27.43,23.54,52.35,5.0
2019,1,A438,29.36,25.21,56.29,25.0
2019,1,A439,33.43,24.86,24.61,0.0
2019,1,A440,29.62,22.32,30.26,2.0
2019,1,A441,30.03,23.1,30.65,0.0
2019,1,A442,30.14,22.9,29.71,0.0
2019,1,A443,28.53,21.72,26.26,0.0
2019,1,A444,28.69,21.83,51.97,22.0
2019,1,A445,28.82,22.67,38.97,2.0
2019,1,A446,31.25,24.7,30.19,2.0
2019,1,A447,28.61,22.11,48.42,0.0
2019,1,A448,31.79,25.64,25.32,0.0
2019,1,A449,33.7,25.44,25.03,0.0
2019,1,A450,31.41,25.69,28.81,0.0
2019,1,A451,29.31,24.33,44.16,7.0
2019,1,A452,30.77,21.38,42.16,0.0
2019,1,A453,29.65,24.73,42.63,1.0
2019,1,A454,32.52,25.1,27.1,0.0
2019,1,A455,28.54,23.6,47.81,2.0
2019,1,A456,31.11,25.18,48.97,0.0
2019,1,A458,30.12,24.0,33.74,0.0
2019,1,A502,24.97,19.3,40.55,17.0
2019,1,A505,26.23,22.03,39.1,31.0
2019,1,A506,29.72,24.62,27.26,0.0
2019,1,A507,27.73,23.1,35.77,20.0
2019,1,A508,31.94,27.95,32.52,0.0
2019,1,A509,21.43,16.83,50.65,34.0
2019,1,A510,28.07,20.32,41.71,21.0
