bioma,estado,uf,ano,area_pastagem_risco_ha
Amazônia,Acre,AC,2019,19292.72280515126
Amazônia,Acre,AC,2020,20306.16458121939
Amazônia,Acre,AC,2021,23794.98116752323
Amazônia,Acre,AC,2022,31685.22154133915
Amazônia,Acre,AC,2023,33179.37173684705
Amazônia,Amapá,AP,2019,18005.58563180537
Amazônia,Amapá,AP,2020,17468.35975388184
Amazônia,Amapá,AP,2021,16125.77632241824
Amazônia,Amapá,AP,2022,31082.8152158019
Amazônia,Amapá,AP,2023,35990.16415006688
Amazônia,Amazonas,AM,2019,143730.0188997985
Amazônia,Amazonas,AM,2020,152314.5163864254
Amazônia,Amazonas,AM,2021,164847.2533139955
Amazônia,Amazonas,AM,2022,212532.2970073371
Amazônia,Amazonas,AM,2023,241315.8074013183
Amazônia,Maranhão,MA,2019,470827.8621610657
Amazônia,Maranhão,MA,2020,458773.0246083895
Amazônia,Maranhão,MA,2021,496502.8532871497
Amazônia,Maranhão,MA,2022,634807.0680418083
Amazônia,Maranhão,MA,2023,576932.7467433688
Amazônia,Mato Grosso,MT,2019,3912196.100999178
Amazônia,Mato Grosso,MT,2020,4182949.812594434
Amazônia,Mato Grosso,MT,2021,4395462.128591129
Amazônia,Mato Grosso,MT,2022,4728987.543105328
Amazônia,Mato Grosso,MT,2023,4878445.395484535
Amazônia,Pará,PA,2019,1252109.044315048
Amazônia,Pará,PA,2020,1247642.699211521
Amazônia,Pará,PA,2021,1359942.311817669
Amazônia,Pará,PA,2022,1780573.15559388
Amazônia,Pará,PA,2023,1842081.274921555
Amazônia,Rondônia,RO,2019,658555.3994910596
Amazônia,Rondônia,RO,2020,752997.5115963808
Amazônia,Rondônia,RO,2021,860072.5785351782
Amazônia,Rondônia,RO,2022,1002233.730050647
Amazônia,Rondônia,RO,2023,1088151.482730938
Amazônia,Roraima,RR,2019,57657.31598672492
Amazônia,Roraima,RR,2020,57178.79640808113
Amazônia,Roraima,RR,2021,63311.16473867183
Amazônia,Roraima,RR,2022,81252.04830452293
Amazônia,Roraima,RR,2023,78883.72505427273
Amazônia,Tocantins,TO,2019,252599.6303828559
Amazônia,Tocantins,TO,2020,253444.8130568948
Amazônia,Tocantins,TO,2021,250100.5951792079
Amazônia,Tocantins,TO,2022,287553.9170610436
Amazônia,Tocantins,TO,2023,320508.6583759239
Cerrado,Bahia,BA,2019,287841.7388883368
Cerrado,Bahia,BA,2020,268005.3470457658
Cerrado,Bahia,BA,2021,275038.1434635021
Cerrado,Bahia,BA,2022,289643.4128263804
Cerrado,Bahia,BA,2023,289354.3188493836
Cerrado,"Distrito Federal
",DF,2019,42746.65589492147
Cerrado,"Distrito Federal
",DF,2020,42190.00679252914
Cerrado,"Distrito Federal
",DF,2021,39130.53717038649
Cerrado,"Distrito Federal
",DF,2022,36133.96350004961
Cerrado,"Distrito Federal
",DF,2023,34992.62289688789
Cerrado,Goiás,GO,2019,2872252.428865667
Cerrado,Goiás,GO,2020,2882652.627479575
Cerrado,Goiás,GO,2021,2968010.827205022
Cerrado,Goiás,GO,2022,3010356.210006045
Cerrado,Goiás,GO,2023,3304572.169669349
Cerrado,Maranhão,MA,2019,123358.6395845087
Cerrado,Maranhão,MA,2020,121858.5771562252
Cerrado,Maranhão,MA,2021,133485.4563325683
Cerrado,Maranhão,MA,2022,167500.6144556512
Cerrado,Maranhão,MA,2023,190915.7455561828
Cerrado,Mato Grosso,MT,2019,1689462.081064768
Cerrado,Mato Grosso,MT,2020,1764593.370243615
Cerrado,Mato Grosso,MT,2021,1815719.795494409
Cerrado,Mato Grosso,MT,2022,1848901.355299159
Cerrado,Mato Grosso,MT,2023,1911242.593205376
Cerrado,Mato Grosso do Sul,MS,2019,3922205.450256268
Cerrado,Mato Grosso do Sul,MS,2020,3856115.904780536
Cerrado,Mato Grosso do Sul,MS,2021,3457638.577839111
Cerrado,Mato Grosso do Sul,MS,2022,2616402.873067785
Cerrado,Mato Grosso do Sul,MS,2023,2689321.69107422
Cerrado,Minas Gerais,MG,2019,3465136.252492958
Cerrado,Minas Gerais,MG,2020,3234955.431344882
Cerrado,Minas Gerais,MG,2021,3197328.479119894
Cerrado,Minas Gerais,MG,2022,3201876.010136542
Cerrado,Minas Gerais,MG,2023,3360586.702913693
Cerrado,Paraná,PR,2019,306.7276208923338
Cerrado,Paraná,PR,2020,356.8740474670411
Cerrado,Paraná,PR,2021,353.2914851501469
Cerrado,Paraná,PR,2022,242.639893017578
Cerrado,Paraná,PR,2023,266.6293186584471
Cerrado,Pará,PA,2019,43375.47375723938
Cerrado,Pará,PA,2020,47482.95626290383
Cerrado,Pará,PA,2021,52277.16826140239
Cerrado,Pará,PA,2022,59873.91500271812
Cerrado,Pará,PA,2023,65023.73317621609
Cerrado,Piauí,PI,2019,223605.8695309838
Cerrado,Piauí,PI,2020,206232.0131810541
Cerrado,Piauí,PI,2021,208635.0905570272
Cerrado,Piauí,PI,2022,221676.4246754479
Cerrado,Piauí,PI,2023,217766.3245854542
Cerrado,Rondônia,RO,2019,911.2473459533625
Cerrado,Rondônia,RO,2020,613.5207025268554
Cerrado,Rondônia,RO,2021,769.4273260253874
Cerrado,Rondônia,RO,2022,942.0711462341293
Cerrado,Rondônia,RO,2023,1105.124073388668
Cerrado,São Paulo,SP,2019,35503.68624768638
Cerrado,São Paulo,SP,2020,33204.72571299435
Cerrado,São Paulo,SP,2021,24742.68879673469
Cerrado,São Paulo,SP,2022,18009.42393715815
Cerrado,São Paulo,SP,2023,16948.68930739132
Cerrado,Tocantins,TO,2019,1408287.072364791
Cerrado,Tocantins,TO,2020,1391249.096245775
Cerrado,Tocantins,TO,2021,1457918.940396975
Cerrado,Tocantins,TO,2022,1556406.492123292
Cerrado,Tocantins,TO,2023,1628644.279102086
