bioma,estado,ano,area_queimada_ha,uf,area_pastagem_risco_ha,perc_pastagem_queimada,nivel_risco_historico
Amazônia,Acre,2019,194765.73659606327,AC,19292.72280515126,1009.53,Médio
Amazônia,Acre,2020,202138.77533061538,AC,20306.16458121939,995.46,Médio
Amazônia,Acre,2021,247107.61696911594,AC,23794.98116752323,1038.49,Médio
Amazônia,Acre,2022,398077.0045813901,AC,31685.22154133915,1256.35,Médio
Amazônia,Acre,2023,148011.29796189576,AC,33179.37173684705,446.09,Médio
Amazônia,Amapá,2019,242608.90219917067,AP,18005.58563180537,1347.41,Médio
Amazônia,Amapá,2020,184606.37012509746,AP,17468.35975388184,1056.8,Médio
Amazônia,Amapá,2021,158068.0543690741,AP,16125.77632241824,980.22,Médio
Amazônia,Amapá,2022,198163.94651705443,AP,31082.8152158019,637.54,Médio
Amazônia,Amapá,2023,440744.98129234696,AP,35990.16415006688,1224.63,Médio
Amazônia,Amazonas,2019,648460.511907038,AM,143730.0188997985,451.17,Médio
Amazônia,Amazonas,2020,663460.250755049,AM,152314.5163864254,435.59,Médio
Amazônia,Amazonas,2021,677614.2828203291,AM,164847.2533139955,411.06,Médio
Amazônia,Amazonas,2022,986106.6829595774,AM,212532.2970073371,463.98,Médio
Amazônia,Amazonas,2023,1000876.6597522923,AM,241315.8074013183,414.76,Alto
Amazônia,Maranhão,2019,342186.5702031421,MA,470827.8621610657,72.68,Médio
Amazônia,Maranhão,2020,274833.8837330137,MA,458773.0246083895,59.91,Médio
Amazônia,Maranhão,2021,115846.04159108283,MA,496502.8532871497,23.33,Médio
Amazônia,Maranhão,2022,379579.33244088624,MA,634807.0680418083,59.79,Médio
Amazônia,Maranhão,2023,771939.901112004,MA,576932.7467433688,133.8,Médio
Amazônia,Mato Grosso,2019,1316011.1619880865,MT,3912196.100999178,33.64,Alto
Amazônia,Mato Grosso,2020,1854913.0209145076,MT,4182949.812594434,44.34,Alto
Amazônia,Mato Grosso,2021,864579.1946959308,MT,4395462.128591129,19.67,Médio
Amazônia,Mato Grosso,2022,1494480.0988175387,MT,4728987.543105328,31.6,Alto
Amazônia,Mato Grosso,2023,838837.9969378207,MT,4878445.395484535,17.19,Médio
Amazônia,Pará,2019,2308235.4349869112,PA,1252109.044315048,184.35,Alto
Amazônia,Pará,2020,3074183.681353775,PA,1247642.699211521,246.4,Alto
Amazônia,Pará,2021,1026505.8656586782,PA,1359942.311817669,75.48,Alto
Amazônia,Pará,2022,2922507.927181617,PA,1780573.15559388,164.13,Alto
Amazônia,Pará,2023,2845928.9555354086,PA,1842081.274921555,154.5,Alto
Amazônia,Rondônia,2019,604813.3744382934,RO,658555.3994910596,91.84,Médio
Amazônia,Rondônia,2020,698849.6013276512,RO,752997.5115963808,92.81,Médio
Amazônia,Rondônia,2021,495460.4370562039,RO,860072.5785351782,57.61,Médio
Amazônia,Rondônia,2022,701823.9847820837,RO,1002233.730050647,70.03,Médio
Amazônia,Rondônia,2023,597439.0461796377,RO,1088151.482730938,54.9,Médio
Amazônia,Roraima,2019,1837621.564058791,RR,57657.31598672492,3187.14,Alto
Amazônia,Roraima,2020,1184588.2200229357,RR,57178.79640808113,2071.73,Alto
Amazônia,Roraima,2021,722365.7395265957,RR,63311.16473867183,1140.98,Médio
Amazônia,Roraima,2022,761756.1247140461,RR,81252.04830452293,937.52,Médio
Amazônia,Roraima,2023,1987553.5134847967,RR,78883.72505427273,2519.6,Alto
Amazônia,Tocantins,2019,32595.027337573058,TO,252599.6303828559,12.9,Baixo
Amazônia,Tocantins,2020,91207.99019706526,TO,253444.8130568948,35.99,Médio
Amazônia,Tocantins,2021,14051.954429083253,TO,250100.5951792079,5.62,Baixo
Amazônia,Tocantins,2022,46265.33929515377,TO,287553.9170610436,16.09,Baixo
Amazônia,Tocantins,2023,28296.746543322686,TO,320508.6583759239,8.83,Baixo
Cerrado,Bahia,2019,289487.7215282055,BA,287841.7388883368,100.57,Médio
Cerrado,Bahia,2020,331894.2184627933,BA,268005.3470457658,123.84,Médio
Cerrado,Bahia,2021,766615.8887472138,BA,275038.1434635021,278.73,Médio
Cerrado,Bahia,2022,385512.26043987426,BA,289643.4128263804,133.1,Médio
Cerrado,Bahia,2023,323750.0029246757,BA,289354.3188493836,111.89,Médio
Cerrado,Distrito Federal,2019,16059.511502142335,,,,Baixo
Cerrado,Distrito Federal,2020,11244.786535821539,,,,Baixo
Cerrado,Distrito Federal,2021,21556.416578729233,,,,Baixo
Cerrado,Distrito Federal,2022,27200.966054437253,,,,Baixo
Cerrado,Distrito Federal,2023,5250.56840302123,,,,Baixo
Cerrado,Goiás,2019,748476.2181307276,GO,2872252.428865667,26.06,Médio
Cerrado,Goiás,2020,390765.769878058,GO,2882652.627479575,13.56,Médio
Cerrado,Goiás,2021,681964.6172185624,GO,2968010.827205022,22.98,Médio
Cerrado,Goiás,2022,389954.91942354775,GO,3010356.210006045,12.95,Médio
Cerrado,Goiás,2023,249317.25073971564,GO,3304572.169669349,7.54,Médio
Cerrado,Maranhão,2019,1633486.5500492312,MA,123358.6395845087,1324.18,Alto
Cerrado,Maranhão,2020,1556059.4482923292,MA,121858.5771562252,1276.94,Alto
Cerrado,Maranhão,2021,884585.8627077766,MA,133485.4563325683,662.68,Médio
Cerrado,Maranhão,2022,1566078.2010118153,MA,167500.6144556512,934.97,Alto
Cerrado,Maranhão,2023,1570964.675344487,MA,190915.7455561828,822.86,Alto
Cerrado,Mato Grosso,2019,2607211.5264375405,MT,1689462.081064768,154.32,Alto
Cerrado,Mato Grosso,2020,2733603.8328421796,MT,1764593.370243615,154.91,Alto
Cerrado,Mato Grosso,2021,1765427.8068894472,MT,1815719.795494409,97.23,Alto
Cerrado,Mato Grosso,2022,2014620.7498803227,MT,1848901.355299159,108.96,Alto
Cerrado,Mato Grosso,2023,963323.4549463431,MT,1911242.593205376,50.4,Médio
Cerrado,Mato Grosso do Sul,2019,69889.02795231319,MS,3922205.450256268,1.78,Médio
Cerrado,Mato Grosso do Sul,2020,79695.49456663227,MS,3856115.904780536,2.07,Médio
Cerrado,Mato Grosso do Sul,2021,131368.1812486993,MS,3457638.577839111,3.8,Médio
Cerrado,Mato Grosso do Sul,2022,59033.38402174066,MS,2616402.873067785,2.26,Baixo
Cerrado,Mato Grosso do Sul,2023,52106.09568887942,MS,2689321.69107422,1.94,Baixo
Cerrado,Minas Gerais,2019,196201.83987323625,MG,3465136.252492958,5.66,Médio
Cerrado,Minas Gerais,2020,261894.38991305538,MG,3234955.431344882,8.1,Médio
Cerrado,Minas Gerais,2021,298594.7014682819,MG,3197328.479119894,9.34,Médio
Cerrado,Minas Gerais,2022,160994.4294382141,MG,3201876.010136542,5.03,Médio
Cerrado,Minas Gerais,2023,126126.93804599007,MG,3360586.702913693,3.75,Médio
Cerrado,Paraná,2019,983.1223009948732,PR,306.7276208923338,320.52,Baixo
Cerrado,Paraná,2020,1556.356016949464,PR,356.8740474670411,436.11,Baixo
Cerrado,Paraná,2021,1273.9530465209955,PR,353.2914851501469,360.6,Baixo
Cerrado,Paraná,2022,882.9222424987784,PR,242.639893017578,363.88,Baixo
Cerrado,Paraná,2023,223.77925686645506,PR,266.6293186584471,83.93,Baixo
Cerrado,Pará,2019,78447.80587277339,PA,43375.47375723938,180.86,Médio
Cerrado,Pará,2020,125196.5424104262,PA,47482.95626290383,263.67,Médio
Cerrado,Pará,2021,22152.0259770447,PA,52277.16826140239,42.37,Baixo
Cerrado,Pará,2022,76549.00424594215,PA,59873.91500271812,127.85,Médio
Cerrado,Pará,2023,11564.600280218494,PA,65023.73317621609,17.79,Baixo
Cerrado,Piauí,2019,1164516.9707487617,PI,223605.8695309838,520.79,Alto
Cerrado,Piauí,2020,959072.948133359,PI,206232.0131810541,465.05,Médio
Cerrado,Piauí,2021,920120.6613354223,PI,208635.0905570272,441.02,Médio
Cerrado,Piauí,2022,1218037.3327319177,PI,221676.4246754479,549.47,Alto
Cerrado,Piauí,2023,1326359.149983017,PI,217766.3245854542,609.07,Alto
Cerrado,Rondônia,2019,5848.389418072533,RO,911.2473459533625,641.8,Baixo
Cerrado,Rondônia,2020,4822.1086688598625,RO,613.5207025268554,785.97,Baixo
Cerrado,Rondônia,2021,1073.316222155759,RO,769.4273260253874,139.5,Baixo
Cerrado,Rondônia,2022,2084.8255559265176,RO,942.0711462341293,221.3,Baixo
Cerrado,Rondônia,2023,792.9316757507321,RO,1105.124073388668,71.75,Baixo
Cerrado,São Paulo,2019,16541.195283459474,SP,35503.68624768638,46.59,Baixo
Cerrado,São Paulo,2020,36436.477335430995,SP,33204.72571299435,109.73,Baixo
Cerrado,São Paulo,2021,37628.98426874384,SP,24742.68879673469,152.08,Baixo
Cerrado,São Paulo,2022,8679.083496392825,SP,18009.42393715815,48.19,Baixo
Cerrado,São Paulo,2023,13159.586696545422,SP,16948.68930739132,77.64,Baixo
Cerrado,Tocantins,2019,2535254.1367998463,TO,1408287.072364791,180.02,Alto
Cerrado,Tocantins,2020,2410521.196506571,TO,1391249.096245775,173.26,Alto
Cerrado,Tocantins,2021,1617099.1342726408,TO,1457918.940396975,110.92,Alto
Cerrado,Tocantins,2022,2206435.2431491464,TO,1556406.492123292,141.76,Alto
Cerrado,Tocantins,2023,1398714.1122982337,TO,1628644.279102086,85.88,Alto
